Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
29,Louis Vuitton,C241773,,"Shoulder Bag, Plastic",,,,87516.0,,,90000,,,58000.0,,50000.0,2640.0,52360.00000000001,,False,,,
30,Prada,C226194,,"Handbag, Cotton",,,,16995.0,,,18000,,,1000.0,5000.0,2000.0,990.0,1210.0,,False,,,piping exposed
31,Cartier,C283184,,"Love Bracelet, 750 Gold",,,,373890.0,,,500000,,,,,,,,,False,,,scratches
32,Givenchy,C242724,,"Handbag, Leather",,,dustbag,27120.0,,,30000,,,16000.0,,,1540.0,16060.0,,False,,,
33,Valentino,C239637,,"Backpack, Cotton",,,,50985.0,,,55000,,,,,29000.0,1540.0,30360.000000000004,,False,,,peeling
34,Balenciaga,C227231,,"Handbag, Leather",,,dustbag,36300.0,,,45000,,,25000.0,,23000.0,1540.0,23760.000000000004,,False,,,
35,Louis Vuitton,C242553,,"Crossbody Bag, Leather",,,,38420.0,,,45000,,,28000.0,26000.0,,1540.0,27060.000000000004,,False,,,corners rubbed
36,Burberry,C167409,,"Drawstring backpack, Textured leather",,,dustbag,18128.0,,,17000,,,11000.0,,,1540.0,10560.000000000002,-7568.0,True,,,peeling
37,Louis Vuitton,C229947,,"Shoulder Bag, Leather",,,,48719.0,,,55000,,,34000.0,34000.0,35000.0,1540.0,36960.0,-11319.0,True,,,"interior damaged, some cracks"
38,Christian Dior,C251036,,"Clutch Bag, Leather",,,,18461.0,,,17000,,,1000.0,,1000.0,990.0,110.0,,False,,,"cracks, peeling"
39,Prada,C204627,,"Wallet, Leather",,,pencil,29368.7,,,30000,,,17000.0,,14000.0,1540.0,13860.000000000002,-15068.7,True,,,corners scuffed
40,Chanel,C201763,,"Bracelet, Logo, Leather and metal",,,,37389.0,,,45000,,,24000.0,24000.0,27000.0,1540.0,28160.000000000004,-8789.0,True,,,
41,Celine,C253657,,"Handbag, Plastic",,,,34892.0,,,38000,,,,,16000.0,1540.0,16060.0,,False,,,
42,Givenchy,C244132,,"Handbag, Leather",,,"dustbag, strap",19800.0,,,20000,,,19800.0,,,1540.0,20240.0,660.0,True,,,scratches
43,Prada,C221748,,Accessory,,,box,22000.0,,,22000,,,,,1000.0,990.0,110.0,,False,,,missing parts
44,Givenchy,C245118,,"Handbag, Leather",,,,28600.0,,,30000,,,,11000.0,,1540.0,10560.000000000002,,False,,,exterior peeling
45,Louis Vuitton,C205075,,"Handbag, Plastic",,,,66990.0,,,65000,,,,,26000.0,1540.0,27060.000000000004,,False,,,zipper tear
46,Louis Vuitton,C216905,,"Tote bag, Plastic",,,,59400.0,,,60000,,,37000.0,,29000.0,1540.0,30360.000000000004,,False,,,peeling
47,Louis Vuitton,C240599,,"Shoulder Bag, Plastic",,,,41921.0,,,45000,,,32000.0,31000.0,,1540.0,32560.0,-8921.0,True,,,
48,Louis Vuitton,C251417,,"Tote bag, Plastic",,,,44000.0,,,50000,,,35000.0,,,1540.0,36960.0,-7040.0,True,,,interior stains
49,Louis Vuitton,C227163,,"Handbag, Plastic",,,"dustbag, lock & key",73216.0,,,75000,,,,,28000.0,1540.0,29260.000000000004,,False,,,piping exposed
50,Louis Vuitton,C244622,,"Handbag, Plastic",,,,62000.0,,,65000,,,,37000.0,37000.0,1540.0,39160.0,,False,,,interior stains
51,Chanel,C284342,,"Earrings, Faux pearl, Gold plated metal",,,,6050.0,,,18000,,,1000.0,1000.0,1000.0,990.0,110.0,,False,,,
52,Chanel,C284344,,"Earrings, Faux pearl, Gold plated metal",,,,6050.0,,,20000,,,1000.0,,,990.0,110.0,,False,,,
53,Bulgari,C261900,,"Watch, Quartz, SS",,,box,30800.0,,,50000,,,46000.0,,,1540.0,49060.00000000001,18260.0,True,,,
54,Louis Vuitton,C213547,,"Bijoux sac fleur de, Epi, Metal",,,box dustbag,24926.0,,,28000,,,,10000.0,10000.0,990.0,10010.0,,False,,,
55,Louis Vuitton,C217806,,"Kwy charm, Porto Cleron, vernished leather",,,,13200.0,,,15000,,,3000.0,2000.0,,990.0,1210.0,,False,,,peeling
56,Louis Vuitton,C216497,,"Portefeuil Marco, Monogram",,,,11550.0,,,13000,,,3000.0,5000.0,,990.0,4510.0,-6600.0,True,,,peeled interior BC
57,Louis Vuitton,C222289,,"Portefeuille International, Monogram, Canvas, Vintage",,,,14729.0,,,15000,,,4000.0,4000.0,4000.0,990.0,3410.0,-10879.0,True,,,"scratches, stain, B-"
58,Louis Vuitton,C214911,,"Portefeuille International, Monogram, Canvas, Vintage",,,,7700.0,,,10000,,,1000.0,3000.0,,990.0,2310.0000000000005,-4950.0,True,,,BC
59,Prada,C219311,,"Hat, Textile",,,,17325.0,,,15000,,,7000.0,,,990.0,6710.000000000001,-10615.0,True,,,sticky
60,Christian Dior,C264254,,"Tote bag, Cotton",,,,12100.0,,,12000,,,,,,,,2860.0,True,,,replace strap
61,Bottega Veneta,C262155,,"Handbag, intrecciato, Leather",,,,36036.0,,,50000,,,,23000.0,,1540.0,23760.000000000004,,False,,,
62,Bottega Veneta,C263484,,"Shoulder bag, intrecciato, Leather",,,,86108.0,,,98000,,,60000.0,62000.0,59000.0,2640.0,62260.00000000001,,False,,,
63,Goyard,C262896,,"Tote bag, Plastic",,,,181280.0,,,200000,,,159000.0,171000.0,160000.0,2640.0,173360.0,,False,,,
64,Loewe,C262137,,"Crossbody Bag, Leather",,,,17732.0,,,28000,,,18000.0,,,1540.0,18260.0,4928.0,True,,,
65,Yves Saint Laurent,C264019,,"Shoulder Bag, Leather",,,,25740.0,,,37000,,,19000.0,,13000.0,1540.0,12760.000000000002,,False,,,
66,Givenchy,C249221,,"Handbag, Leather",,,,11000.0,,,22000,,,,,3000.0,990.0,2310.0000000000005,,False,,,
67,Louis Vuitton,C247422,,"Berkeley, Damier ebene, Coated canvas",,,,76230.0,,,85000,,,53000.0,58000.0,54000.0,2640.0,56760.00000000001,,False,,,
68,Chanel,C252596,,"Earrings, Coco mark, Faux pearl, Gold plated metal",,,,31724.0,,,38000,,,22000.0,22000.0,,1540.0,22660.000000000004,-8624.0,True,,,repaired with super glue
69,Chanel,C229230,,"Earrings, Faux pearl, Gold plated metal, Rhinestone",,,,26059.0,,,35000,,,,,6000.0,990.0,5610.000000000001,,False,,,repaired with super glue
70,Chanel,C247467,,"Ring, Coco mark, Faux pearl, Gold plated metal",,,,39550.0,,,60000,,,41000.0,,,1540.0,43560.00000000001,4010.0,True,,,repaired with super glue
71,Chanel,C207590,,"Chain shoulder bag, Matelasse",,,,283250.0,,,250000,,,160000.0,165000.0,160000.0,2640.0,173360.0,,False,,,broken button
72,Chanel,C180702,,"Tote bag, New travel, Nylon",,,,8640.0,,,10000,,,3000.0,,,990.0,2310.0000000000005,-6330.0,True,,,"sticky, stains"
73,Chanel,C157079,,"Chain shoulder bag, Matelasse, Calfskin",,,,143000.0,,,150000,,,,83000.0,104000.0,2640.0,111760.00000000001,-30800.0,True,,,"no seal, broken button"
74,Louis Vuitton,C241954,,"Pochette accessories, Monogram, Canvas",,,,45320.0,,,60000,,,,,35000.0,1540.0,36960.0,-7920.0,True,,,"missing parts, BC"
75,Burberry,C237740,,"Clutch Bag, Nylon",,,,4950.0,,,8000,,,2000.0,,1000.0,990.0,110.0,,False,,,stains
